Year,Zone,Hectares,Acres,RestorationGoal.Acres,Pct.Goal.Achieved,year,meanRu,meanZo,perBayZo,perBayRu
1984,Baywide,15469.89,38227.645179,184889,0.2067599758720097,1984,2907.05087952,7839.20153331,0.5067393196273535,0.18791671301605894
1985,Baywide,19872.89,49107.898479,184889,0.26560746436510557,1985,5936.28626239,8285.53798788,0.41692667688896784,0.2987127822068154
1986,Baywide,19187.269999999997,47413.662896999995,184889,0.2564439360751586,1986,4896.52399282,8772.92611039,0.45722638553530554,0.25519649188342064
1987,Baywide,20088.2,49639.95102,184889,0.26848515065796236,1987,5898.74973707,8255.39261159,0.41095730884748255,0.29364252332563395
NA,Baywide,NA,NA,184889,NA,NA,NA,NA,NA,NA
1989,Baywide,24151.69,59681.24115899998,184889,0.3227949805504924,1989,7938.18224649,9908.34005147,0.4102545226222265,0.3286801978035492
1990,Baywide,24291.68,60027.17044799999,184889,0.3246659912055341,1990,6959.4947373800005,10537.36201317,0.433784819047921,0.2864970532042247
1991,Baywide,25624.97,63321.863367,184889,0.34248583402473914,1991,6617.86955519,11762.05751343,0.4590076598501383,0.2582586264565383
1992,Baywide,28566.309999999998,70590.20864099999,184889,0.3817977740211694,1992,9173.43825478,12105.73282001,0.42377656827255605,0.3211278689750269
1993,Baywide,29587.709999999995,73114.19018099998,184889,0.39544910828118485,1993,9878.95022614,12328.74709332,0.4166847347537205,0.33388694921438666
1994,Baywide,26484.609999999997,65446.119771,184889,0.35397519468978683,1994,7310.75124577,11147.47277241,0.4209037917647268,0.2760377157062158
1995,Baywide,24251.79,59928.598268999995,184889,0.3241328487308601,1995,6542.0479676899995,10830.59682208,0.44658958460715686,0.26975526209364337
1996,Baywide,25695.589999999997,63496.37244899999,184889,0.34342969267506446,1996,7625.569528360001,10736.46911117,0.41783314223063184,0.29676569124740865
1997,Baywide,28031.739999999998,69269.23271399998,184889,0.3746530767866124,1997,8629.30169164,10788.55895496,0.38486940000727754,0.30784038706266537
1998,Baywide,25704.14,63517.50035399999,184889,0.3435439661310299,1998,5912.2852854600005,9608.86769104,0.37382568298491997,0.23001295843626748
1999,Baywide,27558.454843507752,68099.697763792,184889,0.36832747088140455,1999,8786.41137168,8982.3062808,0.32593649868276486,0.3188281571508321
2000,Baywide,27986.11,69156.476421,184889,0.37404321739530205,2000,7193.46952617,9119.62906462,0.3258626891918884,0.25703713471325595
2001,Baywide,34565.3656472047,85414.47505080754,184889,0.4619770513703224,2001,12578.9833536,9677.10219878,0.279965277889736,0.36391871221582933
2002,Baywide,36283.06,89659.06956599999,184889,0.48493458002368983,2002,15729.34081862,9744.77014075,0.26857630367311913,0.4335174822250384
2003,Baywide,25707.955680577663,63526.92928227546,184889,0.34359496390956445,2003,7568.46355325,8817.41298622,0.3429838255432169,0.29440161043096735
2004,Baywide,29519.37,72945.31520699999,184889,0.39453572255245034,2004,8087.43947063,7090.83107492,0.2402094311267483,0.27397059864861617
2005,Baywide,31671.280000000002,78262.900008,184889,0.4232966807543986,2005,8198.9786926,8122.206962329999,0.25645338496991593,0.2588774022584499
2006,Baywide,23940.93,59160.432123,184889,0.31997810644765234,2006,5624.66227196,5420.71954985,0.2264205922597827,0.2349391720355057
2007,Baywide,26270.679999999997,64917.477348,184889,0.3511159525336824,2007,5069.68948702,6087.7584783699995,0.23173204798543473,0.19297899738491736
2008,Baywide,31103.659999999996,76860.25422599999,184889,0.41571025980994,2008,6587.2497857,7041.83479451,0.2263989123630467,0.2117837510344442
2009,Baywide,34767.7,85914.46346999999,184889,0.4646813140316622,2009,8929.46567646,8193.85486772,0.2356743433623737,0.25683222290976976
2010,Baywide,32238.32,79664.11255199999,184889,0.4308753498152945,2010,7651.27751972,8123.92763955,0.2519959985368344,0.23733487103918566
2011,Baywide,25528.335651925063,63083.07022947201,184889,0.34119428537918434,2011,8009.40053657,5492.69861443,0.21516085847985164,0.3137455040460509
2012,Baywide,19503.47,48195.024717,184889,0.26067004914840797,2012,5869.01090231,5320.92118746,0.27281920537524856,0.3009213694952744
2013,Baywide,24163.77011123657,59711.092321876684,184889,0.32295643506036964,2013,8214.59920409,6728.47993638,0.2784532341354771,0.33995519599278384
2014,Baywide,30528.21,75438.259731,184889,0.40801918843738677,2014,12090.69442929,7292.18748024,0.2388671815425798,0.396049897104678
2015,Baywide,37357.7776180209,92314.80427189144,184889,0.49929852112289774,2015,15559.58236154,8317.39113065,0.2226414862172583,0.41650181979867734
2016,Baywide,40313.69454984035,99619.17060211048,184889,0.5388052864265072,2016,17096.94077457,8311.96604187,0.2061821952734649,0.42409759178566053
2017,Baywide,42447.84760519574,104892.87621719918,184889,0.5673289174434346,2017,17952.07721774,8340.21016147,0.19648134433203002,0.4229207894051762
2018,Baywide,43736.741060184206,108077.86083382118,184889,0.5845553863876227,2018,16206.59514718,9740.43677759,0.22270604854135365,0.37054875956301403
2019,Baywide,26865.28495137559,66386.80564334423,184889,0.35906303589366717,2019,8631.45232603,5177.66275869,0.1927268878056284,0.32128646100915603
